"K2"	"K4"	"K10"	"K3"	"K5"	"K23"	"K7"	"K24"	"K19"	"K8"	"K9"	"K28"	"K12"	"K6"	"K30"	"K21"	"K11"	"K14"	"K17"	"K27"	"K16"	"K1"	"K20"	"K25"	"K26"	"K22"	"K13"	"K18"	"K29"	"K15"
"SAT"	98	56	348	6	310	639	202	32	46	14	0	179	12	1017	117	156	82	80	28	50	132	8	16	95	128	38	262	20	30	482
"SCO"	24	6	66	0	46	10	44	0	14	0	0	16	12	58	8	14	6	0	0	12	28	0	0	8	28	14	16	0	2	18
"SDEA"	4	0	0	0	14	12	8	0	2	0	0	10	0	22	12	20	8	2	2	2	14	0	0	4	8	0	4	0	0	2
"SDEB"	196	151	4622	22	843	1226	442	148	142	27	8	606	16	1662	152	390	246	216	100	306	568	20	30	200	229	148	946	67	78	1038
"SDEX"	84	32	861	12	292	329	218	114	32	10	0	201	8	1100	72	108	88	58	18	56	144	2	14	76	74	28	224	18	30	274
"SDEY"	76	72	2843	22	417	637	225	56	62	12	0	437	32	892	110	224	101	89	14	114	206	6	12	119	132	64	443	27	28	475
"SDIA"	2	0	4567	0	20	8	30	0	4	0	0	7	0	6	4	19	2	4	2	6	6	2	0	13	14	2	37	0	0	6
"SED"	58	18	288	8	232	152	140	54	38	10	8	78	6	184	42	270	30	28	10	52	120	2	8	38	32	8	168	12	10	70
"SEPA"	16	10	0	2	32	84	52	0	2	0	0	38	2	84	24	30	10	4	4	14	20	8	6	2	22	8	32	2	16	80
"SFB"	6	26	0	0	18	2	0	0	8	2	0	4	0	10	8	12	6	0	0	2	8	0	0	4	16	0	22	0	0	0
"SFC"	0	4	2	0	22	16	18	2	2	0	0	38	0	8	8	12	0	4	4	22	24	0	2	2	6	0	2	0	0	4
"SFH"	2	2	0	0	6	10	28	0	0	0	0	6	0	4	8	12	4	6	0	0	6	0	2	0	8	4	6	0	4	6
"SFH1"	2	0	0	2	2	10	36	0	2	0	0	10	0	6	6	14	4	4	0	0	4	0	0	0	2	2	4	0	0	0
"SFO"	2	12	72	4	30	60	18	2	24	0	0	34	6	178	16	14	4	12	2	6	22	0	0	4	2	2	22	2	0	62
"SGM"	18	4	54	2	98	180	70	6	10	2	0	106	12	630	12	70	18	54	10	12	46	0	4	28	26	6	50	12	26	242
"SHN"	10	0	0	0	6	4	8	4	0	0	0	8	0	2	2	16	6	2	0	4	6	0	0	0	0	22	0	0	0	0
"SHV"	138	112	2046	22	520	780	380	78	98	26	4	560	22	2100	178	350	132	232	68	160	438	38	14	202	236	110	694	54	120	926
"SILA"	76	22	810	4	218	160	218	32	26	10	6	110	0	174	82	154	80	46	8	52	152	20	16	24	60	40	301	10	26	72
"SILB"	14	2	0	6	108	64	56	2	14	0	0	28	0	106	14	58	10	8	8	8	18	4	0	18	16	18	130	8	6	20
"SILC"	16	2	330	2	118	32	60	8	6	8	4	22	0	50	36	40	10	28	6	26	72	4	2	44	24	4	156	6	32	30
"SILE"	2	0	0	0	2	2	22	0	0	0	0	2	0	16	6	20	2	0	0	6	12	0	0	6	4	2	18	0	2	6
"SILF"	4	0	0	0	14	2	0	6	4	0	0	14	0	0	0	2	0	4	4	0	10	0	0	0	8	0	21	0	4	8
"SILP"	58	49	280	2	220	274	151	40	25	4	0	74	8	139	66	141	61	48	59	30	163	4	10	56	60	38	356	22	20	40
"SILR"	9	6	0	2	47	30	34	4	10	0	0	14	0	80	20	32	5	6	14	13	28	0	2	16	16	14	47	8	2	34
"SILS"	38	8	0	0	178	52	120	14	36	2	0	68	0	134	56	102	48	68	10	36	152	0	2	40	64	34	168	2	12	34
"SIM"	2	2	0	0	28	18	8	2	4	0	0	4	0	6	6	2	4	0	0	0	8	0	0	4	4	4	8	0	0	0
"SITA"	4	2	4845	0	37	8	38	4	6	0	0	32	0	38	18	14	16	4	0	4	16	0	6	18	10	2	8	0	2	16
"SITB"	25	24	5348	4	219	185	94	30	22	4	2	97	2	1376	38	58	51	38	20	20	188	6	2	33	26	52	82	10	10	120
"SITC"	10	12	4301	4	104	50	48	16	6	2	1	42	2	82	18	32	2	6	2	16	32	0	2	24	10	18	38	2	2	24
"SITD"	10	2	4702	0	30	10	22	23	0	2	2	12	0	14	8	20	14	16	2	4	22	2	0	17	14	12	55	6	4	18
"SLB"	4	0	0	0	4	6	4	0	0	0	0	2	0	58	2	6	0	0	0	0	2	0	0	4	4	4	2	2	0	0
"SMB"	20	22	2	2	112	80	76	12	30	0	0	48	0	168	28	64	10	62	16	38	68	6	6	12	38	12	102	2	10	174
"SMDA"	306	168	2810	38	968	716	692	204	188	66	10	631	26	1239	210	570	194	247	76	238	792	12	40	293	352	142	1198	58	138	523
"SMDB"	198	150	5192	42	867	625	595	160	159	38	0	426	2	940	218	444	162	230	52	196	535	18	40	205	240	121	2156	58	84	378
"SME"	1145	709	11471	184	4329	7406	2611	712	829	170	50	3750	210	14780	1112	2586	869	1162	283	1154	2794	85	186	1164	1179	666	5211	355	479	4204
"SMET"	26	16	270	12	168	192	158	14	16	4	0	140	2	936	50	90	30	44	12	36	92	10	8	46	60	26	136	6	24	90
"SMFY"	130	109	5376	14	513	635	304	80	80	26	0	422	26	2473	122	306	122	147	38	139	312	17	28	175	166	78	442	41	51	594
"SMR"	8	0	0	2	36	30	28	0	2	0	0	14	0	122	26	90	16	6	4	0	30	0	2	12	10	8	24	0	0	22
"SMRA"	307	204	5235	40	1071	1763	730	178	228	33	10	790	40	2785	288	491	263	286	61	317	797	15	36	385	292	167	1441	63	142	968
"SMTA"	0	0	0	0	22	12	28	4	2	0	0	12	0	154	4	16	0	2	0	18	6	0	0	0	0	2	8	0	0	0
"SMTB"	4	0	0	0	16	26	36	2	4	0	0	6	0	18	6	6	4	4	0	2	8	0	0	2	0	2	0	6	0	10
"SMVA"	50	14	6408	0	136	130	72	10	32	0	3	46	0	182	26	58	24	21	2	18	88	6	0	31	40	20	150	0	10	62
"SODA"	40	42	8935	5	158	508	165	26	28	6	1	185	4	529	32	82	49	42	14	39	56	0	11	58	54	32	149	30	6	138
"SODB"	107	40	9287	24	359	842	232	28	72	8	0	340	22	1206	122	264	72	107	20	67	159	6	28	132	88	57	315	8	47	441
"SOXR"	26	16	5345	0	56	166	32	8	12	4	0	88	24	420	4	35	16	18	4	20	54	2	0	12	34	14	68	0	6	163
"SOXR|RequiresSNPConfirmation"	0	8	2321	2	14	14	33	8	6	0	4	11	0	751	16	14	0	6	12	0	10	0	0	16	8	4	12	0	0	10
"SOXRB"	9	2	2509	0	22	8	26	13	8	0	7	67	0	4	9	23	0	10	4	2	16	0	2	29	17	2	72	0	0	0
"SOXS"	6	0	2785	0	22	7	6	4	0	0	7	39	0	12	6	39	0	2	0	8	8	0	0	20	9	6	65	0	2	7
"SOXS|RequiresSNPConfirmation"	0	0	2148	0	6	4	4	8	7	0	0	12	0	0	2	0	0	0	0	2	4	0	6	4	18	0	4	0	2	0
"SPG"	36	24	264	6	158	246	74	16	22	0	0	100	2	600	36	74	38	24	6	14	118	2	2	28	22	22	124	10	24	96
"SPM"	2	2	0	2	14	42	28	4	6	0	0	14	0	4	2	14	16	6	6	0	10	0	0	10	0	8	14	0	2	8
"SPN"	56	20	562	12	238	256	116	20	48	6	0	214	10	1504	32	116	28	40	12	58	130	14	8	44	36	56	232	10	24	258
"SPR"	24	12	0	12	92	94	66	14	16	0	0	28	0	54	32	32	12	28	6	18	30	0	0	16	38	4	94	4	8	30
"SPS"	2	2	0	0	12	10	42	0	0	0	0	6	0	118	8	20	6	0	0	2	18	0	0	0	2	20	30	0	8	10
"SRMB"	336	200	1020	52	1256	1979	787	192	250	62	4	1208	87	5823	305	636	305	452	127	352	899	31	58	445	395	259	2044	77	157	2837
"SRPA"	6	4	308	0	30	44	28	6	4	2	0	24	0	306	14	18	6	2	4	8	14	0	0	8	14	4	24	4	8	28
"SRPB"	80	24	16	10	227	233	212	49	30	12	2	257	12	315	64	198	52	96	26	48	224	14	4	74	76	52	214	22	18	305
"SRPC"	18	4	0	0	56	70	44	2	4	2	0	16	0	32	20	18	16	2	0	32	28	0	6	22	0	12	32	8	2	28
"SRPCC"	0	10	0	0	28	8	30	0	0	4	0	28	0	150	10	22	16	0	2	0	20	0	4	4	6	8	34	2	4	4
"SRPR"	4	0	2	0	10	10	24	4	0	2	0	14	0	6	6	16	0	4	0	4	10	0	0	2	4	4	8	0	0	8
"SRPS"	8	2	0	0	18	60	20	0	2	0	0	28	8	186	6	8	12	2	0	0	10	0	2	4	4	4	22	2	6	82
"SRT"	122	64	2006	34	432	808	284	68	72	30	4	446	6	1732	116	208	94	138	52	114	320	0	12	126	182	104	426	26	54	584
"SSME"	16	12	60	0	74	96	16	16	12	2	0	64	6	128	10	16	2	32	4	12	40	2	8	26	8	16	54	4	10	92
"STA"	18	18	362	0	76	140	32	18	26	2	0	166	26	654	10	50	22	32	8	34	46	12	6	30	30	14	80	4	18	254
"SUGE"	20	0	2472	8	35	20	31	4	4	4	0	37	0	26	15	83	7	2	0	5	24	0	0	28	12	6	53	2	3	28
"SULI"	64	158	209	6	311	2399	233	32	37	6	2	509	203	8593	194	118	64	140	22	86	112	22	4	163	81	42	235	16	53	1052
"SULII"	42	136	892	4	152	3416	216	22	40	4	1	1411	14	1110	751	86	24	50	6	71	119	29	10	111	18	21	285	29	23	141
"SULIII"	10	0	2	4	10	16	18	2	2	0	0	39	0	20	18	42	0	10	0	6	22	0	0	0	0	2	10	0	6	18
"SULIV"	22	18	130	10	68	70	26	6	10	2	0	62	0	82	10	44	14	14	2	8	42	0	0	20	24	8	46	8	14	136
"SULR"	24	6	0	0	44	18	26	6	14	0	0	23	0	50	4	32	8	12	8	12	28	0	4	32	14	10	48	2	6	12
"SULX"	22	26	210	0	102	86	36	10	20	0	0	38	0	186	10	48	32	16	8	10	134	0	4	8	8	8	46	6	2	30
"TAEA"	255	96	150	22	683	523	518	55	73	14	2	261	28	1280	184	362	180	212	48	121	640	8	24	217	232	84	1183	62	50	362
"TAP"	72	34	568	28	202	380	172	26	64	12	0	254	4	634	84	193	38	84	12	34	159	0	6	42	40	24	240	20	28	415
"TBTA"	26	10	612	4	161	303	98	20	28	2	0	78	2	1084	32	80	30	38	10	28	78	4	2	40	54	20	88	8	4	118
"TBTB"	112	121	1013	22	684	1129	340	106	117	18	2	622	24	1874	203	366	93	127	56	141	362	10	20	180	261	91	722	52	95	588
"TBTM"	68	52	404	20	298	329	144	34	80	10	4	218	4	409	46	168	76	64	30	74	148	12	4	79	84	56	236	22	46	324
"TBTR"	28	4	826	8	104	114	64	22	24	2	4	68	0	244	16	36	28	50	4	30	98	4	8	58	42	10	50	8	10	252
"TCMA"	94	64	1844	12	436	338	168	36	58	12	2	300	10	932	84	174	92	118	30	88	200	4	10	82	74	56	400	2	32	274
"TCR3"	130	92	2212	20	392	848	170	82	62	16	4	448	60	3252	84	122	78	122	12	68	230	6	10	104	92	40	698	52	38	680
"TCRA"	24	10	202	6	129	245	151	6	12	2	0	113	21	3091	64	78	38	27	22	28	70	0	0	36	34	24	42	2	10	54
"TCRB"	36	20	360	2	122	107	115	10	4	4	0	34	8	1418	46	82	16	12	10	18	58	0	2	17	60	12	48	8	2	30
"TCRY"	2	0	0	0	16	15	8	2	0	0	0	8	6	261	22	4	4	5	0	4	6	0	0	2	0	4	4	0	0	7
"TCRZ"	2	0	0	0	6	7	14	2	4	0	0	3	0	138	2	4	2	0	0	2	0	0	0	2	0	0	4	0	0	0
"TEHA"	14	5	4279	0	46	96	42	6	5	2	2	55	10	662	12	47	18	16	4	18	46	6	1	12	15	10	96	6	6	68
"TEHB"	22	6	1936	12	62	26	24	7	15	13	0	38	2	28	28	72	8	16	8	8	48	0	4	61	12	4	55	10	10	11
"TEM"	48	12	707	3	162	87	112	23	21	18	4	102	2	78	193	101	41	22	24	21	96	4	16	19	42	41	267	8	12	46
"TER"	32	30	2	10	108	110	132	24	20	0	4	126	4	244	48	116	28	52	8	40	162	0	14	30	60	58	100	18	26	98
"TERB"	8	2	393	0	40	46	36	12	2	2	0	30	2	128	6	10	2	2	0	2	24	0	4	8	0	0	8	4	2	132
"TERC"	16	2	2098	0	64	35	48	6	6	0	0	16	0	58	38	56	6	14	6	18	42	2	4	18	26	34	70	6	16	23
"TERD"	10	4	940	4	25	4	28	5	18	0	0	22	0	30	20	18	10	0	10	0	12	0	0	16	18	0	10	0	4	4
"TERE"	14	4	1217	0	46	44	34	3	6	0	0	42	0	70	4	46	2	4	2	22	24	2	0	14	10	4	26	10	2	28
"TERW"	12	2	1654	0	17	4	20	14	6	0	0	2	1	7	12	22	8	6	0	0	8	0	2	16	0	4	4	0	0	7
"TERZ"	16	4	2741	8	46	30	14	4	10	0	2	4	0	124	6	20	28	8	6	12	22	0	2	9	20	0	28	2	4	10
"TET16S|RequiresSNPConfirmation"	20352	6304	36469	1879	66072	40471	47129	7485	7679	1550	97	13814	482	33352	21907	46833	18793	10574	4489	10781	31392	1060	2590	13143	18777	8619	55128	3346	5039	11587
"TET30"	28	36	2	0	102	112	102	16	20	4	0	58	8	252	40	56	18	36	6	16	60	0	8	12	40	18	90	12	12	106
"TET31"	10	10	102	2	30	85	78	0	2	0	0	10	0	32	20	16	4	10	0	10	16	0	10	2	14	4	16	0	4	2
"TET32"	141	47	30	40	817	80	616	126	138	5	0	91	0	78	341	459	66	305	58	116	1522	3	19	134	134	199	1277	8	65	57
"TET33"	32	39	20	8	117	410	30	8	16	0	0	69	1	1781	42	44	18	44	8	24	28	10	4	32	24	2	70	2	4	106
"TET34"	2	2	0	0	22	16	18	0	4	2	0	6	0	8	8	6	4	0	2	4	0	0	0	0	6	0	6	0	0	2
"TET35"	41	4	4	0	124	69	167	20	13	6	0	30	0	126	88	141	34	11	5	27	81	4	4	22	32	13	96	8	8	30
"TET36"	30	14	44	0	80	17	73	0	2	0	0	20	0	14	30	54	22	10	2	2	56	0	2	4	8	7	46	8	0	6
"TET37"	0	0	0	0	10	8	8	0	0	0	0	0	0	48	2	4	2	0	0	4	2	0	2	12	2	2	0	4	2	0
"TET38"	8	2	3066	0	52	2	28	0	2	2	0	12	0	64	20	38	26	10	2	6	12	0	4	4	20	8	12	4	2	2
"TET39"	18	0	0	0	26	124	20	0	8	0	0	13	0	39	24	16	8	2	14	12	10	2	0	4	6	2	22	0	2	6
"TET40"	153	45	136	141	3620	454	1100	225	278	31	2	703	10	233	652	959	111	1590	178	873	5746	70	42	237	353	247	6088	101	292	188
"TET42"	78	40	288	12	315	376	178	28	56	8	0	266	12	980	52	140	86	108	28	82	165	0	4	54	50	44	868	14	53	292
"TET43"	36	30	2	20	212	202	78	16	22	0	0	142	2	338	16	94	64	80	48	26	164	0	2	44	46	10	94	18	10	288
"TET44"	67	28	6	36	112	192	416	24	79	6	0	43	4	131	250	291	19	139	81	171	1023	16	12	23	58	39	623	22	20	13
"TET45"	44	4	0	0	20	30	44	4	10	0	0	10	0	14	12	20	8	4	2	2	14	0	2	0	2	4	20	0	0	2
"TET47"	10	2	0	0	66	22	38	12	2	4	0	20	4	28	20	44	8	2	2	14	28	0	0	10	10	8	46	0	0	0
"TET48"	12	12	14	0	22	14	32	6	8	0	0	14	0	52	10	32	4	0	4	0	4	4	0	10	10	2	2	2	0	0
"TET49"	8	6	40	0	18	60	30	0	2	0	4	36	0	70	8	16	0	12	0	8	18	0	0	16	16	8	30	2	8	116
"TET50"	4	4	0	0	24	20	46	0	2	0	0	22	0	36	6	20	0	2	0	0	10	0	0	0	8	6	16	0	0	6
"TET51"	4	0	0	0	32	10	92	6	2	0	0	8	0	18	6	46	20	2	0	6	28	0	0	12	4	2	22	6	4	2
"TET52"	8	2	106	0	36	6	10	0	2	4	0	12	0	14	8	26	16	10	0	6	30	0	0	14	8	6	14	2	0	6
"TET53"	6	2	0	0	56	22	78	0	4	0	0	6	0	44	10	12	14	12	12	2	30	0	6	26	10	14	36	0	4	10
"TET54"	14	0	0	8	42	28	32	6	2	2	0	30	0	52	16	12	6	4	6	12	14	0	0	6	4	10	38	6	10	6
"TET55"	16	2	0	0	10	8	10	4	4	0	0	6	0	8	26	18	0	6	2	2	14	0	0	0	6	4	16	4	2	2
"TET56"	20	0	154	2	46	26	48	2	2	4	0	8	0	8	10	32	2	8	4	10	18	0	2	2	6	8	28	4	0	8
"TET57"	16	0	12	0	22	16	22	0	2	0	0	12	2	38	12	24	2	0	2	16	16	0	0	12	2	0	20	6	4	12
"TET58"	14	12	0	6	50	141	56	18	14	2	0	55	4	559	40	38	18	16	2	18	34	6	0	36	20	8	75	4	4	44
"TET59"	4	0	0	0	26	10	36	0	2	0	0	20	2	40	12	30	4	0	2	0	16	0	0	12	6	6	28	0	0	0
"TETA"	360	347	3348	76	1646	2548	976	322	326	54	3	1841	142	7292	416	969	381	536	86	366	1113	26	58	573	373	273	2849	147	213	2841
"TETA46"	32	20	2	8	54	50	66	2	6	0	4	48	0	88	48	100	22	16	2	24	48	0	12	20	12	28	30	4	12	16
"TETA60"	6	4	104	4	84	44	44	4	10	0	0	104	4	128	16	22	24	22	6	4	74	0	6	26	8	8	62	10	4	18
"TETB"	36	16	34	4	113	58	84	0	34	0	0	78	0	215	34	53	8	24	18	9	52	0	19	13	32	16	120	4	4	30
"TETB46"	40	6	92	2	84	22	110	8	0	12	0	30	0	76	32	42	34	28	8	18	26	2	2	6	50	18	72	6	4	16
"TETB60"	14	6	90	2	48	37	44	0	2	0	0	20	0	114	18	44	6	6	2	6	16	0	0	22	18	18	46	4	8	2
"TETBP"	22	2	0	17	117	94	119	4	27	0	2	88	0	138	63	86	19	48	6	64	166	2	0	10	23	43	263	6	2	16
"TETC"	64	73	454	20	272	212	167	45	32	10	1	170	9	864	62	102	76	76	20	92	124	8	10	48	64	36	487	28	30	242
"TETD"	20	18	2	0	52	30	34	2	10	4	0	24	0	60	18	30	20	16	0	4	58	2	2	24	28	12	56	2	12	24
"TETE"	28	4	2	2	26	40	52	4	8	0	0	8	0	10	2	32	8	8	6	6	28	0	0	18	14	8	42	2	8	10
"TETG"	88	66	0	4	264	161	204	22	42	12	0	58	2	314	86	322	66	68	34	82	188	8	8	58	92	50	220	18	36	86
"TETH"	8	0	48	0	16	44	10	4	8	0	0	54	0	14	6	22	0	0	0	4	16	0	0	0	0	1	16	0	6	8
"TETJ"	12	0	0	0	48	44	76	2	0	4	0	44	0	76	36	40	12	6	2	8	6	0	0	18	10	10	32	0	16	20
"TETK"	8	2	0	0	26	34	38	0	2	0	0	18	0	46	6	24	8	2	0	0	6	0	2	9	2	0	10	0	0	8
"TETL"	54	16	49807	22	131	497	160	8	32	10	3	219	9	300	200	76	30	36	6	37	100	18	3	45	48	104	118	8	16	35
"TETM"	48	24	34	0	259	185	169	18	14	2	2	116	3	536	115	131	28	10	6	88	112	22	6	16	30	42	76	19	4	46
"TETO"	165	66	240	57	1685	322	1237	82	180	23	1	192	8	272	563	1101	145	250	101	328	1886	36	24	201	195	126	1790	35	94	104
"TETQ"	153	49	19	53	3012	153	721	26	190	8	4	61	4	76	540	655	46	255	98	432	3308	4	4	344	192	612	3999	2	36	49
"TETR|RequiresSNPConfirmation"	212	143	2682	62	901	1236	504	80	122	32	9	1249	92	4810	286	438	186	218	62	238	598	6	30	210	260	121	1242	94	101	1241
"TETRM|RequiresSNPConfirmation"	2	1	2113	2	18	11	72	4	4	6	0	10	3	12	10	15	4	6	2	12	20	0	2	8	24	17	58	2	0	6
"TETS"	20	2	0	0	34	46	28	0	0	2	0	26	2	52	22	39	6	12	6	12	18	0	2	0	14	6	30	0	0	4
"TETT"	8	20	2	0	62	86	53	0	0	0	0	32	0	299	10	11	18	0	0	12	47	0	0	10	20	2	14	0	14	4
"TETU"	0	0	0	0	4	2	12	0	0	0	0	4	0	2	10	4	0	6	0	0	2	0	0	0	0	0	0	2	8	0
"TETV"	62	36	516	10	312	430	140	42	28	8	16	305	6	862	68	106	90	106	20	84	162	0	4	88	68	42	198	22	50	568
"TETW"	442	148	901	106	6409	1195	2146	218	776	28	4	830	32	822	760	1925	479	804	606	1077	5295	86	28	666	420	408	6164	89	597	359
"TETX"	36	11	4	0	167	92	226	77	16	8	0	102	2	100	259	88	22	30	20	26	56	0	0	52	48	43	72	13	16	24
"TETY"	38	20	0	0	93	44	64	10	10	0	0	34	0	36	37	146	18	6	14	80	32	2	0	18	12	16	44	4	8	4
"TETZ"	18	31	50	4	76	349	80	8	6	6	2	498	0	1126	30	100	28	45	20	26	108	0	2	28	22	8	142	2	32	252
"THINB"	64	36	1016	16	296	184	170	32	40	24	0	144	8	488	68	116	72	56	34	74	244	2	4	84	130	38	284	24	36	128
"THYA|RequiresSNPConfirmation"	35	68	1645	20	284	947	105	16	34	4	2	699	24	2222	111	106	56	121	20	62	115	6	12	65	68	51	1615	25	27	1293
"TLA"	28	14	0	10	104	64	110	2	8	0	0	26	0	144	32	92	14	20	2	24	52	0	0	12	14	4	80	2	6	12
"TLMB"	24	28	122	6	150	218	68	4	14	12	2	148	6	412	12	38	18	46	26	38	78	0	0	36	24	22	98	22	12	288
"TLRC"	465	262	3247	74	1963	2197	1189	264	393	78	8	1644	66	7173	463	1119	510	573	128	466	1084	48	64	512	483	227	1795	165	280	1843
"TLRCM"	195	196	2106	41	1021	1792	654	143	145	29	5	1292	62	9280	238	525	276	299	92	299	703	14	38	226	292	177	2713	53	119	2112
"TLYA|RequiresSNPConfirmation"	70	48	569	4	265	679	181	22	44	2	2	434	32	2955	99	147	87	76	24	81	164	4	6	85	44	40	314	36	27	663
"TMB"	2	8	30	0	26	4	8	8	4	0	0	16	0	0	2	20	6	0	0	0	28	0	0	2	6	6	18	0	4	6
"TMRB"	4	0	1217	2	38	40	48	1	0	0	4	18	0	26	2	12	2	14	4	2	8	0	2	7	10	8	30	0	4	10
"TOLC"	50	13	7233	8	106	72	133	39	19	12	4	95	6	172	40	121	45	37	18	29	68	8	16	63	51	18	249	16	10	52
"TOLCSM"	80	60	1594	12	307	479	160	44	78	6	0	304	59	1209	66	152	58	82	16	90	132	4	4	86	92	34	592	16	40	452
"TRGA"	18	8	190	2	96	146	38	6	30	2	0	57	28	838	6	10	12	48	4	14	74	0	0	22	8	2	66	10	18	166
"TRGB"	74	40	1622	20	278	568	238	40	68	0	0	394	26	1454	68	120	74	84	36	96	194	4	12	72	84	52	740	28	44	638
"TRIA"	58	36	13705	28	330	566	179	35	88	20	2	402	34	1232	98	184	66	146	42	70	264	10	28	131	112	56	392	44	32	678
"TRIAP"	4	4	0	0	20	14	24	0	0	0	0	6	0	18	2	12	0	2	0	4	8	0	0	4	2	2	18	0	10	2
"TRIB"	142	88	9415	12	483	470	395	51	114	22	0	444	12	951	164	338	66	164	32	132	392	10	10	218	146	80	342	26	52	466
"TRIBP"	6	4	0	0	0	4	0	0	0	0	0	0	0	0	2	10	0	0	0	8	6	0	0	0	2	2	22	0	0	2
"TRIC"	182	112	27651	20	762	1034	477	143	144	16	10	707	57	4305	164	324	162	197	36	168	507	12	16	198	176	64	742	46	132	744
"TRICP"	22	18	502	0	36	52	90	8	14	2	0	38	0	44	24	48	34	28	10	28	40	0	0	14	10	6	60	0	16	20
"TROA"	18	0	0	0	14	46	12	14	0	0	0	16	0	32	40	26	8	0	0	2	4	0	0	16	4	0	18	0	0	6
"TROB"	214	96	268	28	879	407	504	71	86	22	0	221	38	864	196	514	190	139	48	163	490	13	24	156	232	104	638	76	48	326
"TROC"	8	6	322	0	38	14	34	0	2	0	0	28	2	20	6	18	0	10	2	2	6	2	4	10	18	0	30	0	0	2
"TROD"	16	0	0	0	34	28	48	2	4	2	0	6	0	22	10	20	24	2	2	6	26	0	4	18	6	8	36	0	0	6
"TROR"	8	2	0	0	16	10	14	0	0	0	0	8	0	4	0	4	4	0	0	2	2	0	0	0	0	2	14	0	0	0
"TRU"	20	14	408	0	66	84	42	18	10	2	0	32	0	184	34	250	12	4	10	6	34	0	0	12	20	10	94	0	6	32
"TSNR"	44	52	206	12	254	426	102	30	36	10	8	225	14	754	58	120	56	54	6	68	116	2	6	38	50	30	140	18	18	303
"TTGA"	74	12	430	6	172	252	158	28	54	14	0	133	6	362	44	142	58	20	18	20	132	3	12	68	48	54	178	12	42	135
"TTGB"	179	149	999	25	711	1110	474	87	152	26	8	681	24	1438	151	330	108	231	68	200	436	4	40	206	261	95	610	30	51	614
"TTGC"	60	24	1162	4	258	276	153	32	22	6	4	218	24	1182	32	116	46	76	22	22	154	8	8	30	72	26	582	20	20	356
"TTGE"	74	32	744	14	404	264	204	30	48	18	2	184	0	354	76	218	70	72	18	76	222	6	10	110	116	66	264	16	30	230
"TTGF"	28	20	2	6	146	136	88	20	54	6	6	90	10	464	28	82	40	26	0	14	58	2	4	32	42	18	90	8	24	126
"TTGG"	0	2	376	2	38	38	12	6	4	2	0	16	2	324	8	10	6	4	0	8	14	0	0	4	10	6	18	4	4	34
"TTGR"	36	42	1802	4	128	124	64	14	12	2	0	78	2	290	22	24	30	40	4	34	66	2	8	40	38	36	108	6	2	196
"TTGT"	24	22	312	4	78	70	78	12	4	4	0	21	2	1010	30	52	24	24	4	12	30	0	2	14	22	4	64	2	0	16
"TTGV"	14	4	594	0	28	74	26	2	8	2	0	34	14	220	12	10	12	10	2	10	22	0	0	6	6	8	22	2	0	64
"TTGW"	0	2	0	0	8	8	6	0	0	0	0	6	0	2	6	8	2	2	0	2	2	0	0	16	12	2	12	0	0	6
"TTU"	12	0	0	0	16	16	6	2	2	0	0	10	0	4	6	26	0	4	0	6	22	0	2	2	2	0	22	0	4	0
"TUFAB|RequiresSNPConfirmation"	15645	5109	46421	1503	40188	46834	36490	5089	5838	1291	95	18299	954	80170	21020	34322	11538	8846	3374	9903	24582	919	1840	10190	13476	6594	35397	2646	3770	20683
"TUNR"	36	28	2	0	124	210	84	2	30	12	0	90	6	826	12	52	28	18	16	32	82	2	12	12	12	6	68	16	28	312
"TUPA"	20	16	0	2	58	22	38	0	12	0	0	6	0	28	4	64	22	4	6	20	34	0	4	20	30	8	24	4	16	0
"TUPB"	20	0	0	0	32	14	16	4	0	4	0	16	0	6	16	20	2	20	0	4	6	0	0	4	8	4	24	2	0	2
"TUPC"	10	0	0	0	38	24	26	8	2	0	0	8	0	22	2	10	14	4	6	10	6	0	2	2	18	8	14	0	0	2
"TUS"	10	18	0	0	40	84	26	0	0	0	0	40	0	192	30	28	14	36	0	0	14	0	2	2	10	16	8	0	6	324
"TVAA"	20	6	2	0	40	28	36	0	8	0	0	34	0	84	16	24	8	2	8	28	38	0	0	4	6	10	18	0	6	14
"UGD"	14	18	6034	26	166	94	136	21	18	10	6	83	0	606	48	150	22	21	28	31	100	0	12	61	32	8	169	10	15	34
"UHPT|RequiresSNPConfirmation"	53	36	15811	10	142	128	168	47	45	14	4	190	8	411	50	186	40	44	20	76	84	6	11	61	68	42	277	22	18	74
"VAN"	9	14	0	0	62	36	52	6	12	4	0	14	0	38	28	45	10	4	8	8	22	0	5	4	25	21	70	0	0	4
"VAN|RequiresSNPConfirmation"	10	8	465	2	64	55	32	0	4	2	0	22	0	54	44	24	6	10	0	10	22	0	2	15	4	0	20	2	10	0
"VANA"	146	98	518	12	639	744	328	90	142	30	0	540	44	2174	116	528	118	188	56	144	430	8	8	164	138	86	931	28	58	1074
"VANB"	14	2	96	0	84	44	42	16	8	2	0	28	6	10	24	48	20	24	0	6	26	4	0	30	18	10	52	6	4	14
"VANC"	68	8	134	26	233	102	148	12	14	4	2	86	6	162	66	127	32	36	18	52	114	0	14	44	32	38	220	6	30	32
"VAND"	20	10	58	4	64	28	54	6	14	10	0	32	0	46	24	60	16	20	8	6	48	2	6	16	24	20	48	4	10	14
"VANE"	6	0	24	0	26	22	24	0	1	0	0	20	0	46	8	44	6	0	2	4	10	0	0	6	6	0	8	2	2	8
